plant_index,state,flow_m3_per_day,median_bootstrap_all,p2_5_bootstrap_all,p97_5_bootstrap_all,mean_bootstrap_all,elec_mu_usd_per_kwh_bootstrap_all,ng_mu_usd_per_mj_bootstrap_all,median_bootstrap_biogas,p2_5_bootstrap_biogas,p97_5_bootstrap_biogas,mean_bootstrap_biogas,elec_mu_usd_per_kwh_bootstrap_biogas,ng_mu_usd_per_mj_bootstrap_biogas,median_heavy_tail,p2_5_heavy_tail,p97_5_heavy_tail,mean_heavy_tail,elec_mu_usd_per_kwh_heavy_tail,ng_mu_usd_per_mj_heavy_tail
69,CT,151416.47136,187287.75641579018,6653.511043801535,1131717.7594564937,291062.9786708418,0.15689999999999998,0.007925868453842619,95621.56098524306,26096.88951175899,747265.3795376045,144794.73421609725,0.15689999999999998,0.007925868453842619,57452.7154566083,11543.61872790654,296710.5805067381,80939.30414206898,0.15689999999999998,0.007925868453842619
70,OH,70030.118004,45930.35055609354,1595.6733057753788,262611.8090859285,69706.36012345382,0.0703,0.007067537077504825,22706.51926087166,6272.4416071253,181455.50213694264,34831.98171854809,0.0703,0.007067537077504825,14195.091462011476,2791.987786658873,69371.38878012192,19788.24182416164,0.0703,0.007067537077504825
71,MA,18927.05892,28529.9391861795,1007.3343319761968,168781.9907805928,43873.27766509323,0.1788,0.012126213486985022,14230.787185901263,3839.345757296989,116335.62913300487,22230.275473409813,0.1788,0.012126213486985022,8601.71753605419,1778.8766105155983,43905.59216918155,12085.738430932337,0.1788,0.012126213486985022
72,NJ,412761.30092736,404168.9547674564,13699.305681711456,2357353.0208899993,618833.3881212465,0.1168,0.008409821251139463,202376.31347550795,56443.07118790416,1655981.6354119228,314810.5395737582,0.1168,0.008409821251139463,125868.40101542164,25831.607649661393,615864.6643119265,177107.10992110724,0.1168,0.008409821251139463
73,OR,85550.3063184,57885.08994785134,2034.113551671338,338448.464116086,90213.10797130023,0.07519999999999999,0.007286685514016603,29590.684136256255,8062.8360594630285,235283.55617105452,46048.72637919709,0.07519999999999999,0.007286685514016603,18335.049185866163,3682.0774275011613,92830.50301199069,25753.63746585605,0.07519999999999999,0.007286685514016603
74,NY,20062.6824552,13579.228071114885,501.46706124190996,82660.60870364812,21161.120943770296,0.0687,0.009496432248843693,7263.552934772031,1978.9787978037727,56041.639569885185,10869.220300651012,0.0687,0.009496432248843693,4338.493350191774,894.4611905133631,21599.749490370577,6124.309930883614,0.0687,0.009496432248843693
75,AZ,22712.470704000003,15655.280492264203,506.9244523511727,93352.98324959826,24253.4154429373,0.08109999999999999,0.006337042289132233,8004.866551097077,2214.52998263459,65485.19202705488,12451.025333692163,0.08109999999999999,0.006337042289132233,4925.071115714743,1015.0911673887229,24623.77353756179,6908.954756718363,0.08109999999999999,0.006337042289132233
76,NJ,302832.94272,295058.29962861433,10297.59690895382,1728773.5415396416,455550.8082606207,0.1168,0.008409821251139463,153343.7253498087,42320.50254598874,1219172.7475037868,235195.99372026516,0.1168,0.008409821251139463,94307.86979746861,18482.41935367099,463966.5927981363,130871.94241326569,0.1168,0.008409821251139463
77,IA,49361.76966336,30446.068167139412,1108.1572157967012,184191.8420447367,47604.50314015252,0.0691,0.006446616507388122,15666.444123775196,4333.934341210001,124717.19923765512,24098.18913000976,0.0691,0.006446616507388122,9566.621021175371,1844.7255147088931,49269.00711658447,13546.968394634721,0.0691,0.006446616507388122
78,ID,18927.05892,11476.71604254606,412.02023776409635,69233.48975585241,18070.681091912204,0.0717,0.0060722379283471685,6099.493293150692,1630.3564156954624,48480.632850556576,9446.246717753536,0.0717,0.0060722379283471685,3729.1359612041824,772.5777985088885,18760.424400641194,5274.923152358022,0.0717,0.0060722379283471685
79,MN,36339.9531264,26861.267826557043,956.3185676943788,160779.78955156708,42000.45507845511,0.092,0.00564307224017827,13741.577731577498,3823.074517523897,106520.57129652797,20797.26639605479,0.092,0.00564307224017827,8428.205268697555,1669.58467484245,41756.96371694806,11870.99437526042,0.092,0.00564307224017827
80,CA,124918.588872,192561.46036633832,7342.160662023312,1142674.220194529,296900.50827442756,0.1864,0.012847577090502956,98774.55727918433,27056.898514033473,779827.0464480881,150834.06746933938,0.1864,0.012847577090502956,60404.55545130324,12012.996281818892,287950.31515113515,84878.40550714567,0.1864,0.012847577090502956
