cwns_code,facility,state,city,latitude,longitude,flow_mgd,median_ch4_kgco2e_day,median_n2o_kgco2e_day,median_co2_kgco2e_day,median_electricity_kgco2e_day,median_onsite_gas_kgco2e_day,median_upstream_gas_kgco2e_day,median_landfill_ch4_kgco2e_day,median_landapp_n2o_kgco2e_day,median_total_emission_kgco2e_day,treatment_train,flow_m3_per_day
26002003001.0,BENTON HARBOR-ST JOSEPH,MI,Saint Joseph,42.1046,-86.4714,15.3,19743.26773056466,2579.373612478554,2197.576199237943,1509.031294432067,0.0,0.0,1915.003619582591,0.0,27944.25245629582,['*A1e'],57916.80029520001
17000162001.0,ELMHURST WWTP & COLLECTION SYSTEM,IL,Elmhurst,41.8825,-87.9589,8.0,10395.56876580055,7961.943765905662,1159.553356999635,824.0841574256632,0.0,0.0,0.0,316.7105191036683,20657.86056523518,['*E1e'],30283.294272000003
17000347001.0,Four Rivers Sanitation Authority ,IL,Rockford,42.222,-89.0933,40.0,51977.84382900276,39809.71882952831,5797.766784998175,4120.420787128316,0.0,0.0,0.0,1591.807714339554,103297.5579449971,['*E1e'],151416.47136
53002625501.0,Kitsap Co SD #7 WWTP,WA,Bainbridge Island,47.5889,-122.524,0.09,116.9501486152562,89.5718673664387,13.0449752662459,7.461543830806383,0.0,0.0,3.218493478290068,8.753429153743838,239.0004577107811,['*E1e'],340.68706056
6009006001.0,South Orange County Wastewater Authority (Coastal Treatment Plant),CA,Laguna Niguel,33.553797,-117.719504,6.7,8645.744692469494,1129.529621150739,962.337289862367,1390.522669799006,0.0,0.0,239.5989589393718,651.6441703342638,13019.37740255524,['*A1e'],25362.2589528
6009019001.0,South Orange County Wastewater Authority  (Latham WWTP),CA,Dana Point,33.466569,-117.684742,13.0,16775.32552270201,2191.624638053673,1867.221607195638,2698.029060804041,0.0,0.0,286.4069252446184,778.9491407024148,24597.55689470239,['*A1e'],49210.353192
36008066001.0,Medina (V) WWTP & PS,NY,Medina,43.231666,-78.390278,4.5,5758.408160201553,736.1857787968759,644.010208626478,543.2195915801849,0.0,0.0,563.2363587007619,0.0,8245.060097905853,['*C1e'],17034.353028
35000028001.0,"Las Cruces, City of WWTP",NM,Las Cruces,32.2966,-106.8113,13.5,17347.87741555145,2242.237614877029,1935.534224368221,7141.876581428944,0.0,0.0,0.0,434.5855865756787,29102.11142280132,"['*A1e', '*C1e']",51103.059084
6003012001.0,Monterey One Water (Regional WWTP and Advanced Water Purification Facility),CA,Marina,36.7192,-121.7877,29.6,37877.52923154799,4842.466456086117,4236.156038965277,4177.304422184025,0.0,0.0,3704.843603898346,0.0,54838.29975268176,['*C1e'],112048.18880640001
6004010004.0,Tillman WRP,CA,Van Nuys,34.1801,-118.4827,80.0,103955.6876580055,79619.43765905662,11595.53356999635,24906.53728762559,0.0,0.0,2860.883091813395,7780.825914438969,230718.9051809364,['*E1e'],302832.94272
